state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha
1,30,RSN518_PALMSPR_FVR045,-0.006019,174.4819,153.4776378,-0.005129952,-0.060718441,661,FAILED,0,0
1,30,RSN518_PALMSPR_FVR045,-0.006019,218.3598,153.4776378,-0.005129952,-0.060718441,661,FAILED,0,1.414
1,30,RSN518_PALMSPR_FVR045,-0.008243,137.1152,153.4776378,-0.128920832,-0.144879233,446,0,1,-1
1,30,RSN518_PALMSPR_FVR045,-0.008243,205.5083,153.4776378,-0.128920832,-0.144879233,663,0,1,1
1,30,RSN518_PALMSPR_FVR045,-0.009164,174.4819,153.4776378,-0.129626471,-0.133972248,663,0,1.414,0
1,25,RSN518_PALMSPR_FVR045,-0.003667,174.4819,152.2032606,-0.001984785,-0.045662574,0,FAILED,-1.414,0
1,25,RSN518_PALMSPR_FVR045,-0.004356,137.1152,152.8865114,-0.107357152,-0.117376466,448,FAILED,-1,-1
1,25,RSN518_PALMSPR_FVR045,-0.004356,205.5083,152.8865114,-0.107357152,-0.117376466,660,FAILED,-1,1
1,25,RSN518_PALMSPR_FVR045,-0.006019,121.6374,153.5627162,-0.00530337,-0.061169256,218,FAILED,0,-1.414
1,25,RSN518_PALMSPR_FVR045,-0.006019,174.4819,153.5627162,-0.00530337,-0.061169256,663,FAILED,0,0
1,25,RSN518_PALMSPR_FVR045,-0.006019,218.3598,153.5627162,-0.00530337,-0.061169256,663,FAILED,0,1.414
1,25,RSN518_PALMSPR_FVR045,-0.008243,137.1152,153.5627162,-0.098280211,-0.111859656,448,FAILED,1,-1
1,25,RSN518_PALMSPR_FVR045,-0.008243,205.5083,153.5627162,-0.098280211,-0.111859656,665,FAILED,1,1
1,25,RSN518_PALMSPR_FVR045,-0.009164,174.4819,153.5627162,-0.007367104,-0.061070927,665,FAILED,1.414,0
1,20,RSN518_PALMSPR_FVR045,-0.003667,174.4819,152.2806528,-0.109137553,-0.113015845,0,0,-1.414,0
1,20,RSN518_PALMSPR_FVR045,-0.004356,137.1152,152.7960407,-0.107557111,-0.117795458,556,0,-1,-1
1,20,RSN518_PALMSPR_FVR045,-0.004356,205.5083,152.7960407,-0.107557111,-0.117795458,660,0,-1,1
1,20,RSN518_PALMSPR_FVR045,-0.006019,121.6374,153.4970031,-0.00272743,-0.104392314,438,0,0,-1.414
1,20,RSN518_PALMSPR_FVR045,-0.006019,174.4819,153.4970031,-0.00272743,-0.104392314,664,0,0,0
1,20,RSN518_PALMSPR_FVR045,-0.006019,218.3598,153.4970031,-0.00272743,-0.104392314,664,0,0,1.414
1,20,RSN518_PALMSPR_FVR045,-0.008243,137.1152,153.4970031,-0.002561014,-0.10100594,556,0,1,-1
1,20,RSN518_PALMSPR_FVR045,-0.008243,205.5083,153.4970031,-0.002561014,-0.10100594,667,0,1,1
1,20,RSN518_PALMSPR_FVR045,-0.009164,174.4819,153.4970031,-0.00247549,-0.100692594,669,0,1.414,0
1,15,RSN518_PALMSPR_FVR045,-0.003667,174.4819,152.5887357,-0.001891972,-0.088377259,0,0,-1.414,0
1,15,RSN518_PALMSPR_FVR045,-0.004356,137.1152,153.7249454,-0.001832158,-0.086169272,649,0,-1,-1
1,15,RSN518_PALMSPR_FVR045,-0.004356,205.5083,153.7249454,-0.001832158,-0.086169272,662,0,-1,1
1,15,RSN518_PALMSPR_FVR045,-0.006019,121.6374,154.2052929,-0.001771126,-0.031301375,547,FAILED,0,-1.414
1,15,RSN518_PALMSPR_FVR045,-0.006019,174.4819,154.2052929,-0.001771126,-0.031301375,667,FAILED,0,0
1,15,RSN518_PALMSPR_FVR045,-0.006019,218.3598,154.2052929,-0.001771126,-0.031301375,667,FAILED,0,1.414
1,15,RSN518_PALMSPR_FVR045,-0.008243,137.1152,154.2193179,-0.001866006,-0.086772366,649,0,1,-1
1,15,RSN518_PALMSPR_FVR045,-0.008243,205.5083,154.2193179,-0.001866006,-0.086772366,675,0,1,1
1,15,RSN518_PALMSPR_FVR045,-0.009164,174.4819,154.2193179,-0.001865707,-0.086696923,677,0,1.414,0
1,10,RSN518_PALMSPR_FVR045,-0.003667,174.4819,153.2872887,-0.001592922,-0.082757083,0,0,-1.414,0
1,10,RSN518_PALMSPR_FVR045,-0.004356,137.1152,153.2872887,-0.001479358,-0.076387218,648,0,-1,-1
1,10,RSN518_PALMSPR_FVR045,-0.004356,205.5083,153.2872887,-0.001479358,-0.076387218,749,0,-1,1
1,10,RSN518_PALMSPR_FVR045,-0.006019,121.6374,153.2872887,-0.001794065,-0.076748336,643,0,0,-1.414
