state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha,
1,30,RSN126_GAZLI_GAZ000,-0.004783314,114.4014823,152.6839147,-0.00221257,-0.118254347,564,0,-0.666666667,-2,
1,30,RSN126_GAZLI_GAZ000,-0.006,114.4014823,152.6839147,-0.002183968,-0.139177153,564,0,0,-2,
1,30,RSN126_GAZLI_GAZ000,-0.007526163,114.4014823,152.6839147,-0.002140543,-0.122423731,564,FAILED,0.666666667,-2,
1,30,RSN126_GAZLI_GAZ000,-0.00944052,114.4014823,152.6839147,-0.002125336,-0.035523611,564,FAILED,1.333333333,-2,
1,30,RSN126_GAZLI_GAZ000,-0.011841815,114.4014823,152.6839147,-0.002120314,-0.112902857,564,0,2,-2,
1,30,RSN126_GAZLI_GAZ000,-0.003040074,130.5481559,152.4663657,-0.120882015,-0.124642654,575,0,-2,-1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.003813349,130.5481559,152.6839147,-0.001952305,-0.118644662,575,0,-1.333333333,-1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.004783314,130.5481559,152.6839147,-0.00221257,-0.118254347,575,0,-0.666666667,-1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.006,130.5481559,152.6839147,-0.002183968,-0.139177153,575,0,0,-1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.007526163,130.5481559,152.6839147,-0.002140543,-0.122423731,575,FAILED,0.666666667,-1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.00944052,130.5481559,152.6839147,-0.002125336,-0.035523611,575,FAILED,1.333333333,-1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.011841815,130.5481559,152.6839147,-0.002120314,-0.112902857,575,0,2,-1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.003040074,148.9737779,152.4663657,-0.120882015,-0.124642654,911,0,-2,-0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.003813349,148.9737779,152.6839147,-0.001952305,-0.118644662,911,0,-1.333333333,-0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.004783314,148.9737779,152.6839147,-0.00221257,-0.118254347,911,0,-0.666666667,-0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.006,148.9737779,152.6839147,-0.002183968,-0.139177153,911,0,0,-0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.007526163,148.9737779,152.6839147,-0.002140543,-0.122423731,911,FAILED,0.666666667,-0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.00944052,148.9737779,152.6839147,-0.002125336,-0.035523611,911,FAILED,1.333333333,-0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.011841815,148.9737779,152.6839147,-0.002120314,-0.112902857,911,0,2,-0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.003040074,170,152.4663657,-0.120882015,-0.124642654,920,0,-2,0,
1,30,RSN126_GAZLI_GAZ000,-0.003813349,170,152.6839147,-0.001952305,-0.118644662,957,0,-1.333333333,0,
1,30,RSN126_GAZLI_GAZ000,-0.004783314,170,152.6839147,-0.00221257,-0.118254347,1099,0,-0.666666667,0,
1,30,RSN126_GAZLI_GAZ000,-0.006,170,152.6839147,-0.002183968,-0.139177153,1100,0,0,0,
1,30,RSN126_GAZLI_GAZ000,-0.007526163,170,152.6839147,-0.002140543,-0.122423731,1102,FAILED,0.666666667,0,
1,30,RSN126_GAZLI_GAZ000,-0.00944052,170,152.6839147,-0.002125336,-0.035523611,1104,FAILED,1.333333333,0,
1,30,RSN126_GAZLI_GAZ000,-0.011841815,170,152.6839147,-0.002120314,-0.112902857,1107,0,2,0,
1,30,RSN126_GAZLI_GAZ000,-0.003040074,193.9938719,152.4663657,-0.120882015,-0.124642654,920,0,-2,0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.003813349,193.9938719,152.6839147,-0.001952305,-0.118644662,957,0,-1.333333333,0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.004783314,193.9938719,152.6839147,-0.00221257,-0.118254347,1099,0,-0.666666667,0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.006,193.9938719,152.6839147,-0.002183968,-0.139177153,1100,0,0,0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.007526163,193.9938719,152.6839147,-0.002140543,-0.122423731,1102,FAILED,0.666666667,0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.00944052,193.9938719,152.6839147,-0.002125336,-0.035523611,1104,FAILED,1.333333333,0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.011841815,193.9938719,152.6839147,-0.002120314,-0.112902857,1107,0,2,0.666666667,
1,30,RSN126_GAZLI_GAZ000,-0.003040074,221.3742491,152.4663657,-0.120882015,-0.124642654,920,0,-2,1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.003813349,221.3742491,152.6839147,-0.001952305,-0.118644662,957,0,-1.333333333,1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.004783314,221.3742491,152.6839147,-0.00221257,-0.118254347,1099,0,-0.666666667,1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.006,221.3742491,152.6839147,-0.002183968,-0.139177153,1100,0,0,1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.007526163,221.3742491,152.6839147,-0.002140543,-0.122423731,1102,FAILED,0.666666667,1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.00944052,221.3742491,152.6839147,-0.002125336,-0.035523611,1104,FAILED,1.333333333,1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.011841815,221.3742491,152.6839147,-0.002120314,-0.112902857,1107,0,2,1.333333333,
1,30,RSN126_GAZLI_GAZ000,-0.003040074,252.6191044,152.4663657,-0.120882015,-0.124642654,920,0,-2,2,
